feature1,feature2,label
0.7396880669815716,0.31052572410635704,group1
0.667385536995453,0.28050688377247257,group1
0.6420807914311716,0.26543758224286157,group1
0.7639204661574178,0.32501143144559086,group1
0.6485764417024118,0.27510062180972444,group1
0.759727210358687,0.29973764203550524,group1
0.7697263301083038,0.32651915085494787,group1
0.6762109761789029,0.29374247260337283,group1
0.8576574962285336,0.30497028174712804,group1
0.6014788003191676,0.2486371748558593,group1
0.8067252350358839,0.31356308049151527,group1
0.6537097526436876,0.27703140201852294,group1
0.6648918429529713,0.27363871188576655,group1
0.7071903881619388,0.2941235330520546,group1
0.7428257972152322,0.30218372755104983,group1
0.7927276965125152,0.29763288984496616,group1
0.7063418403679707,0.27857583692612337,group1
0.67391715561316,0.2778736122348959,group1
0.7490646331565907,0.2885343691953899,group1
0.8920574419920726,0.35057197630724696,group1
0.8416296780816896,0.3165612470383123,group1
0.8221481482252508,0.32613617117051846,group1
0.6703332738657358,0.2896118964643064,group1
0.7518734227040712,0.32548333184903977,group1
0.8492102738152889,0.33281142346971326,group1
0.5665822332024124,0.2561239463650372,group1
0.6568678532641163,0.291843058592185,group1
0.7993401519677074,0.32299832861519284,group1
0.6946562171489183,0.2867033357098179,group1
0.7112251744217453,0.2938139218117821,group1
0.7579851647860787,0.2932821178140879,group1
0.647891537150293,0.29330335594854173,group1
0.8944300431145125,0.3441446697628324,group1
0.709033233190362,0.3128338919591559,group1
0.861993517635459,0.34730351311083707,group1
0.7672381241934094,0.2984641698718723,group1
0.6665310915177809,0.29069744558688737,group1
0.7883809370202095,0.2941197051481505,group1
0.8813880343807432,0.32652965297574177,group1
0.6850290405759435,0.28141705107234566,group1
0.8220549647573544,0.3205764243624174,group1
0.6700701352673839,0.2738158946198993,group1
0.7131202382608796,0.29495312756695563,group1
0.8771288699872176,0.35488937567637424,group1
0.7541173841898653,0.28147088638369727,group1
0.7629551798684981,0.2953432137331098,group1
0.8188993304099665,0.3338971138292967,group1
0.7137235932528971,0.2874679459512893,group1
0.7995853972763344,0.30748053482275095,group1
0.8132131787989876,0.31197561970887205,group1
0.7175546769478304,0.29967014458692637,group1
0.8342053885819187,0.3000188649628764,group1
0.9555307679509472,0.3467921486411309,group1
0.7540220831928759,0.30116149031252415,group1
0.5209015897660345,0.2640431480057096,group1
0.6949513721447701,0.27445808003180455,group1
0.8122902584118634,0.32313362122985395,group1
0.6228348919571861,0.25963112195170024,group1
0.755192454038272,0.30585903147284166,group1
0.8082101170895577,0.31837143773433035,group1
0.574720061607686,0.25369011184255574,group1
0.7709673687282362,0.304750712323521,group1
0.7727361495207737,0.2958383041463132,group1
0.7215798232645408,0.27936709930836434,group1
0.7227219314019335,0.27411338302953264,group1
0.870630457662787,0.32493631330947875,group1
0.7463648372997513,0.3123403746235587,group1
0.6627133258527967,0.28822577433818153,group1
0.8231865914689049,0.3084447815551725,group1
0.6420521099641615,0.2712177102475041,group1
0.7504279257068945,0.2997960840960589,group1
0.6707594416623608,0.27758958103758746,group1
0.976585627056827,0.3668676574885117,group1
0.7687441633154035,0.296984138029433,group1
0.8545527054935141,0.3504694464485263,group1
0.6562009767889204,0.2708723061216263,group1
0.7056535390313902,0.29928588079349416,group1
0.673213068554122,0.2799901949915926,group1
0.5915182376361704,0.253949168038266,group1
0.7458972944709953,0.2919768563682935,group1
0.7966220320196481,0.3068980945747229,group1
0.6856216804115653,0.2897218391572968,group1
0.7598012365411004,0.32370963000418324,group1
0.9366483619075613,0.32763009295725043,group1
0.8201057024873182,0.31775614235198607,group1
0.684015217126966,0.2962480586703026,group1
0.7391567394256475,0.2995919121223294,group1
0.8855021833822527,0.34337531701930046,group1
0.6304179836954122,0.24846054276225543,group1
0.5786936404899485,0.2599279192235947,group1
0.7397995851679718,0.2871081175323415,group1
0.9034392925767424,0.3447194056006966,group1
0.7232854627116313,0.28432168212638714,group1
0.6912350299321101,0.31022451117667427,group1
0.7639664231902669,0.3144521360495056,group1
